distillery_name,profile,brand_name,list_link,detail_link,title_tag,count,title_stat,stat
Talisker,Island Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/talisker-scotch-whisky,salt,31,Reviews,226
Talisker,Island Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/talisker-scotch-whisky,salt,31,Likes,6
Talisker,Island Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/talisker-scotch-whisky,brine,23,Average score,86.5
Talisker,Island Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/talisker-scotch-whisky,brine,23,Ratings,907
Talisker,Island Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/talisker-scotch-whisky,brine,23,Reviews,226
Talisker,Island Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/talisker-scotch-whisky,brine,23,Likes,6
Caol Ila,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/caol-ila-scotch-whisky,peat,51,Average score,86
Caol Ila,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/caol-ila-scotch-whisky,peat,51,Ratings,628
Caol Ila,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/caol-ila-scotch-whisky,peat,51,Reviews,229
Caol Ila,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/caol-ila-scotch-whisky,peat,51,Likes,5
Caol Ila,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/caol-ila-scotch-whisky,smoke,45,Average score,86
Caol Ila,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/caol-ila-scotch-whisky,smoke,45,Ratings,628
Caol Ila,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/caol-ila-scotch-whisky,smoke,45,Reviews,229
Caol Ila,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/caol-ila-scotch-whisky,smoke,45,Likes,5
Caol Ila,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/caol-ila-scotch-whisky,citrus,25,Average score,86
Caol Ila,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/caol-ila-scotch-whisky,citrus,25,Ratings,628
Caol Ila,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/caol-ila-scotch-whisky,citrus,25,Reviews,229
Caol Ila,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/caol-ila-scotch-whisky,citrus,25,Likes,5
Caol Ila,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/caol-ila-scotch-whisky,salt,24,Average score,86
Caol Ila,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/caol-ila-scotch-whisky,salt,24,Ratings,628
Caol Ila,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/caol-ila-scotch-whisky,salt,24,Reviews,229
Caol Ila,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/caol-ila-scotch-whisky,salt,24,Likes,5
Caol Ila,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/caol-ila-scotch-whisky,oily,21,Average score,86
Caol Ila,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/caol-ila-scotch-whisky,oily,21,Ratings,628
Caol Ila,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/caol-ila-scotch-whisky,oily,21,Reviews,229
Caol Ila,Islay Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/caol-ila-scotch-whisky,oily,21,Likes,5
GlenDronach,Speyside Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/glendronach-scotch-whisky,sherry,51,Average score,86.5
GlenDronach,Speyside Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/glendronach-scotch-whisky,sherry,51,Ratings,448
GlenDronach,Speyside Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/glendronach-scotch-whisky,sherry,51,Reviews,186
GlenDronach,Speyside Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/glendronach-scotch-whisky,sherry,51,Likes,3
GlenDronach,Speyside Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/glendronach-scotch-whisky,chocolate,29,Average score,86.5
GlenDronach,Speyside Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/glendronach-scotch-whisky,chocolate,29,Ratings,448
GlenDronach,Speyside Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/glendronach-scotch-whisky,chocolate,29,Reviews,186
GlenDronach,Speyside Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/glendronach-scotch-whisky,chocolate,29,Likes,3
GlenDronach,Speyside Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/glendronach-scotch-whisky,vanilla,26,Average score,86.5
GlenDronach,Speyside Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/glendronach-scotch-whisky,vanilla,26,Ratings,448
GlenDronach,Speyside Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/glendronach-scotch-whisky,vanilla,26,Reviews,186
GlenDronach,Speyside Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/glendronach-scotch-whisky,vanilla,26,Likes,3
GlenDronach,Speyside Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/glendronach-scotch-whisky,oak,25,Average score,86.5
GlenDronach,Speyside Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/glendronach-scotch-whisky,oak,25,Ratings,448
GlenDronach,Speyside Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/glendronach-scotch-whisky,oak,25,Reviews,186
GlenDronach,Speyside Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/glendronach-scotch-whisky,oak,25,Likes,3
GlenDronach,Speyside Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/glendronach-scotch-whisky,raisins,24,Average score,86.5
GlenDronach,Speyside Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/glendronach-scotch-whisky,raisins,24,Ratings,448
GlenDronach,Speyside Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/glendronach-scotch-whisky,raisins,24,Reviews,186
GlenDronach,Speyside Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/glendronach-scotch-whisky,raisins,24,Likes,3
Old Pulteney,Highland Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/old-pulteney-scotch-whisky,vanilla,25,Average score,84
Old Pulteney,Highland Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/old-pulteney-scotch-whisky,vanilla,25,Ratings,330
Old Pulteney,Highland Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/old-pulteney-scotch-whisky,vanilla,25,Reviews,113
Old Pulteney,Highland Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/old-pulteney-scotch-whisky,vanilla,25,Likes,6
Old Pulteney,Highland Whisky,Scotch,https://www.connosr.com/scotch-whisky,https://www.connosr.com/old-pulteney-scotch-whisky,honey,24,Average score,84
